id_category,parent_id,name,mother_cat_id,active,
5,13,Electrical Equipment & Supplies,,1,
6,0,Home Appliances,16,13,
7,0,Computer & Office,11,7,
13,0,Home Improvement,23,14,
15,0,Home & Garden,14,12,
18,0,Sports & Entertainment,33,23,https://s.click.aliexpress.com/e/_AZvTVk
21,0,Office & School Supplies,21,19,
26,0,Toys & Hobbies,4,25,
30,0,Security & Protection,26,21,
34,0,Automobiles & Motorcycles,13,6,
35,0,Food,30,0,
36,0,Jewelry & Accessories,9,15,https://s.click.aliexpress.com/e/_AsqOfc
37,36,Men's Jewelry,,1,https://s.click.aliexpress.com/e/_ArFiMA
38,0,Alibaba,38,4,
39,0,Lights & Lighting,22,16,
40,38,Consumer Electronics,,1,
42,13,Hardware,,1,
43,38,Apparel,,1,
44,0,Consumer Electronics,10,8,
45,38,"Timepieces, Jewelry, Eyewear",,1,
46,38,Sports & Entertainment,,1,
47,38,Shoes & Accessories,,1,
48,38,Beauty & Personal Care,,1,
50,0,Gallery,29,30,
51,50,Nail art,,1,
52,50,HairStyle,,1,
66,0,Beauty & Health,12,3,https://s.click.aliexpress.com/e/_AX65xu
125,15,Garden Supplies,,1,
301,18,Sportswear & Accessories,,1,
310,1501,Baby Clothing,,1,https://s.click.aliexpress.com/e/_ACy6we
311,1501,Children's Clothing,,1,
320,0,Weddings & Events,2,28,https://s.click.aliexpress.com/e/_9vk5V8
322,0,Shoes,6,22,https://s.click.aliexpress.com/e/_98sOai
348,200000343,Shirts,,1,
349,200000345,Skirts,,1,https://s.click.aliexpress.com/e/_AouiqE
405,15,Home Textile,,1,
457,66,Massage,,1,https://s.click.aliexpress.com/e/_9GeNGE
458,66,Body Sculpting & Slimming,,1,https://s.click.aliexpress.com/e/_AgCPqW
502,0,Electronic Components,27,9,
504,502,Electronic Data Systems,,1,
509,0,Phones,7,20,https://s.click.aliexpress.com/e/_A5cTeW
515,502,Electronics Stocks,,1,
530,39,Lighting Accessories,,1,
628,6,Other Home Appliances,,1,
629,44,Accessories & Parts,,1,
631,6,Home Appliances Stocks,,1,
701,7,Desktops,,1,
702,7,Laptops,,1,
703,7,Servers,,1,
854,34,Electric Bikes,,1,
855,39,LED Ceiling Lights & Chandelier,,1,
856,39,Wall Lights,,1,
857,6,Cleaning Appliances,,1,
858,39,LED Flashlights & Accessories,,1,
859,7,Computers & Accessories,,1,
860,34,Scooters And Wheels,,1,
861,6,Air Conditioning Appliances,,1,
862,1501,Boys' Clothing,,1,
